country,file,page,title
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,55,I. Staff Assessment of High Combined Credit Exposure (HCCE) Criteria
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,56,II. Status of Implementation of Key Recommendations from 2019 Article IV Consultations
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,58,III. Risk Assessment Matrix (RAM)
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,59,IV. External Sector Assessment
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,64,V. The Interest-to-Tax Revenue Ratio as a Guide for Fiscal Policy
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,66,VI. Benin’s Access to Capital Markets: Opportunities and Risks
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,73,VII. Scaling Up Benin’s Social Safety Nets
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,78,VIII. Vulnerability to Climate Change and National Strategy
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,81,IX. Capacity Building and Technical Assistance Framework
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,41,I. Risk Assessment Matrix (RAM)
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,42,II. Staff Assessment of High Combined Credit Exposure (HCCE) Criteria
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,44,III. Benin—Fuel Subsidies: Costly and Regressive
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,49,IV. Understanding Recent Inflation Developments in Benin
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,41,I. Risk Assessment Matrix
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,42,II. Poverty Reduction and Growth Strategy
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,44,III. Recent Initiatives to Promote Gender Equity
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,46,IV. Addressing Vulnerability to Climate Change
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,47,V. Food Insecurity in Benin: Tackling Structural Challenges in Agriculture
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,58,I. External Sector Assessment
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,62,II. Risk Assessment Matrix (RAM)
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,63,III. Building Resilience to Climate Change
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,77,IV. Policy lessons from DIGNAD Simulations
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,58,I. External Sector Assessment
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,61,II. Risk Assessment Matrix
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,62,III. Data Issues
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,65,IV. Capacity Development Strategy
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,68,V. Recent Developments in Public Financial Institutions
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,72,VI. Status of Implementation of Key Recommendations from 2022 Article IV Consultation
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,74,VII. Stock Take on Reform Bundling and Sequencing
BEN,BEN_2024_EFF_ECF_Review5_Standalone_Post_Combined_1.pdf,47,I. Risk Assessment Matrix
BEN,BEN_2024_EFF_ECF_Review5_Standalone_Post_Combined_1.pdf,48,II. Impact of Recent Policy Shifts in Nigeria
BEN,BEN_2025_EFF_ECF_Review6_Standalone_Post_Combined_2.pdf,49,I. External Sector Assessment
BEN,BEN_2025_EFF_ECF_Review6_Standalone_Post_Combined_2.pdf,53,II. Risk Assessment Matrix (RAM)
BEN,BEN_2025_EFF_ECF_Review6_Standalone_Post_Combined_2.pdf,54,III. Rebasing of the Harmonized Consumer Price Index
