country,file,page,title
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,15,1. Use of SDR Allocation
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,17,2. Estimating Benin’s Potential Growth
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,20,3. The Authorities’ Civilian Approach to Security Risks
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,25,4. Partial Passthrough and Fuel Subsidies Associated with the War in Ukraine
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,14,1. Fiscal safeguards review (FSR): Key Findings and Recommendations
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,16,1. Recent Tax Performance and Next Steps in Domestic Revenue Mobilization
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,21,2. Key Findings of the IMF Governance Diagnostic
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,17,1. The Medium-Term Revenue Strategy (MTRS)
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,19,2. Climate Risks to Food Security in Benin
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,21,3. Implications for Benin of the Phase out of Fuel Subsidy in Nigeria
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,24,4. The Cost of Climate Inaction
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,28,5. Mobilizing Private Climate Finance
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,23,1. Eurobond Issuance and Liability Management Operations (LMOs)
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,29,2. AML/CFT Framework
BEN,BEN_2024_EFF_ECF_Review4_Article_IV_Combined.pdf,31,3. Fuel Subsidies
BEN,BEN_2024_EFF_ECF_Review5_Standalone_Post_Combined_1.pdf,24,1. Catalyzing climate Finance under the RSF
BEN,BEN_2025_EFF_ECF_Review6_Standalone_Post_Combined_2.pdf,10,1. Benin's Recent External Borrowing Operations
BEN,BEN_2025_EFF_ECF_Review6_Standalone_Post_Combined_2.pdf,18,2. Official Development Assistance Flows
